1	1	24.176308	90.263431	1.160260	0.918907	0.721913	0.927100	32.161890	5.000000	84.347911	4.135938	2.000000	0.035400	17.872868	4.000000	0.010182	51.330165	4.000000	84.906118	2.544776	6.000000	5.621604
2	1	84.108749	45.985982	35.514104	0.987678	0.874232	0.577643	35.565212	6.000000	16.104737	2.901288	3.000000	0.040403	1.987760	4.000000	0.059237	43.126087	5.000000	15.737427	7.365448	1.000000	7.391447
3	1	76.552798	86.469304	64.154034	0.926132	0.485175	0.426434	56.469880	5.000000	15.496172	15.613638	5.000000	0.014857	1.088503	4.000000	0.085198	54.333481	2.000000	1.015259	2.991220	3.000000	16.467020
4	1	13.997775	7.753302	52.918985	0.674625	0.517094	0.974651	34.844917	6.000000	39.848742	6.633564	6.000000	0.012838	6.028647	2.000000	0.010866	20.153735	5.000000	48.954416	21.338162	1.000000	27.600264
5	2	45.261394	31.219091	73.286766	0.197255	0.455092	0.326415	56.472990	6.000000	14.079714	0.882518	5.000000	0.010575	5.605532	1.000000	0.040033	6.059784	1.000000	86.556306	23.848456	6.000000	29.990773
6	1	10.694035	59.405364	58.577704	0.834593	0.536828	0.795637	55.351841	2.000000	25.440041	16.147528	3.000000	0.079438	17.589178	4.000000	0.067960	8.689900	5.000000	39.044891	15.716918	3.000000	2.988460
7	1	60.460146	79.171214	60.876580	0.744156	0.709122	0.761521	2.870620	2.000000	54.306418	3.361374	1.000000	0.039830	10.823339	5.000000	0.034293	5.326177	6.000000	20.803473	3.101708	5.000000	20.516629
8	2	21.608156	28.779829	90.037405	0.452175	0.692735	0.914396	28.072086	6.000000	90.360352	10.002502	1.000000	0.019540	5.470905	1.000000	0.026547	15.375944	1.000000	5.772832	17.483520	3.000000	28.999134
9	1	2.928120	49.457173	54.683237	0.843988	0.886538	0.181731	46.304229	5.000000	32.842352	16.332122	1.000000	0.036715	7.517511	6.000000	0.017130	52.210194	6.000000	63.314553	20.714194	4.000000	37.518080
10	2	38.528791	28.918811	63.608715	0.299978	0.310316	0.831389	47.388800	4.000000	84.082346	13.623610	2.000000	0.013085	10.926104	4.000000	0.032028	35.490930	2.000000	4.296293	22.817849	4.000000	56.898522
