1	1	86.686226	88.732175	55.886767	0.866108	0.296623	0.836876	1.468165	2.000000	64.631302	21.187040	1.000000	34.440327	0.775937	5.000000	70.937026	31.195250	3.000000	0.033521	6.839917	3.000000	16.549182	6.604342	5.000000	0.017417
2	2	63.129390	30.161831	69.763927	0.854264	0.655128	0.985633	3.282034	3.000000	10.235508	40.264191	5.000000	46.650737	2.000573	5.000000	55.908407	29.493487	6.000000	0.047706	5.626626	5.000000	34.285580	3.989581	4.000000	0.017062
3	1	50.089828	15.514243	87.391326	0.220413	0.130902	0.964559	2.400282	3.000000	38.246858	26.893707	5.000000	82.374958	5.650638	6.000000	69.311498	29.198321	5.000000	0.019203	1.836773	1.000000	16.444257	3.855369	4.000000	0.010637
4	1	9.291015	85.609046	51.440832	0.684371	0.941820	0.748580	6.115855	1.000000	43.441517	9.248301	3.000000	30.087525	10.659883	5.000000	34.060508	8.476049	6.000000	0.471960	3.268587	3.000000	92.541568	3.744986	5.000000	0.015129
5	2	24.956644	85.926575	86.680421	0.233885	0.609116	0.523212	3.935513	2.000000	58.608906	18.739801	1.000000	11.060621	14.021485	1.000000	28.235602	19.305956	1.000000	0.019128	5.624554	6.000000	96.617884	1.372183	3.000000	0.026761
6	1	7.249765	17.858504	33.665246	0.613467	0.420472	0.306050	5.838921	3.000000	54.829749	16.916908	4.000000	57.051751	11.206807	6.000000	41.276575	36.499341	3.000000	0.025726	7.407409	6.000000	75.153495	1.272665	5.000000	0.025252
7	2	82.323151	79.207013	27.099380	0.682809	0.192800	0.503961	2.335241	3.000000	60.855175	49.054528	5.000000	13.008025	7.477822	6.000000	31.620934	35.745728	5.000000	0.107689	7.334261	3.000000	84.645985	0.858077	1.000000	0.038339
8	2	73.245271	95.260220	15.510270	0.429610	0.292023	0.803954	5.548462	3.000000	81.556017	19.045403	3.000000	42.750182	16.951155	6.000000	13.300438	4.036678	3.000000	0.037932	4.956882	3.000000	23.097114	15.896262	4.000000	0.026920
9	1	95.433294	80.003315	77.520489	0.258749	0.497474	0.881455	7.180614	5.000000	85.096574	33.176706	6.000000	62.900680	4.864320	2.000000	61.208651	48.818512	4.000000	0.026421	7.233385	2.000000	38.750670	9.842475	6.000000	0.555993
10	2	37.090490	83.029672	21.018384	0.125203	0.217964	0.915615	2.762793	5.000000	23.754405	53.829509	1.000000	28.067731	5.497346	6.000000	66.846562	47.371485	4.000000	0.010141	0.939506	4.000000	57.163001	12.295024	6.000000	0.022383
