1	2	51.623340	86.522491	14.461918	98.349952	0.377810	0.323704	0.507089	0.582571	18.580209	2.000000	56.170991	9.011241	6.000000	38.211703	0.876698	3.000000	82.385265	14.401815	6.000000	0.037123	13.523603	5.000000	0.034911	1.847070	1.000000	0.149571	18.749167	3.000000	0.028963	1.050175	2.000000	73.686338	13.491182	2.000000	0.011599
2	2	93.359300	87.230424	57.844720	49.872764	0.736880	0.728644	0.387987	0.482232	20.522281	2.000000	13.599800	3.258760	6.000000	93.731529	13.766690	5.000000	86.918372	6.394431	4.000000	0.011337	11.343796	6.000000	0.117994	14.515049	6.000000	0.075221	19.477626	4.000000	0.016386	1.740007	1.000000	45.374965	4.696250	2.000000	0.098879
3	1	25.460813	79.068649	5.441601	46.658067	0.551405	0.356041	0.781358	0.421003	22.627383	5.000000	72.739909	10.907109	2.000000	44.072490	21.468865	5.000000	33.082961	1.336833	6.000000	0.047529	7.766081	3.000000	0.012659	7.556298	2.000000	0.038243	11.816740	4.000000	0.022517	1.841292	3.000000	52.347298	17.843388	3.000000	0.075741
4	1	5.477560	7.111250	15.731337	51.812183	0.339886	0.605757	0.698016	0.582429	5.231041	3.000000	53.042389	1.378370	5.000000	74.945055	22.255097	4.000000	82.090028	14.672713	4.000000	0.012944	10.606555	6.000000	0.014749	5.716655	4.000000	0.011291	15.330206	3.000000	0.011353	9.770560	1.000000	68.367762	13.932804	5.000000	0.012864
5	1	64.375044	79.677013	4.280549	15.082123	0.479308	0.246979	0.178030	0.136085	0.655692	6.000000	44.756306	4.306142	5.000000	94.417818	14.537611	6.000000	5.275293	1.918721	2.000000	0.287602	1.413474	1.000000	0.017522	10.303245	3.000000	0.011140	19.789143	4.000000	0.127642	2.626235	2.000000	50.695512	7.382680	3.000000	0.036668
6	1	57.728288	69.692130	52.108838	10.911401	0.155757	0.911243	0.232221	0.930504	10.941698	1.000000	95.698509	6.219239	3.000000	12.533842	16.938207	5.000000	13.191575	10.974547	3.000000	0.020157	19.860163	4.000000	0.015105	7.640961	4.000000	0.011988	11.912490	1.000000	0.018036	4.422353	2.000000	31.875145	4.092967	4.000000	0.015475
7	1	11.463968	85.097655	69.036854	78.130461	0.453733	0.201097	0.243830	0.975757	5.315766	2.000000	16.638361	4.599605	4.000000	42.842142	6.692039	2.000000	33.594618	7.367015	1.000000	0.016372	7.624189	6.000000	0.227877	2.158295	1.000000	0.024955	1.520859	1.000000	0.011145	5.921186	4.000000	58.332666	9.368324	5.000000	0.016156
8	1	90.663176	24.373102	93.582261	48.080526	0.459707	0.159187	0.871606	0.635868	8.493674	2.000000	39.203648	10.669833	4.000000	96.789851	6.715520	1.000000	96.619499	8.361565	6.000000	0.010943	20.570534	3.000000	0.029293	15.945364	4.000000	0.012276	17.031001	6.000000	0.184676	7.503042	1.000000	25.092925	5.048647	4.000000	0.136538
9	2	94.214858	62.112862	75.823485	58.638259	0.224401	0.583121	0.327825	0.566898	21.435442	6.000000	67.140726	11.646887	5.000000	5.021834	5.177202	5.000000	99.298155	3.026869	6.000000	0.233485	9.359677	4.000000	0.016214	2.594878	4.000000	0.019687	12.652833	5.000000	0.017608	4.616469	6.000000	20.468536	3.703321	3.000000	0.019782
10	1	93.355021	79.894512	50.653602	22.004475	0.250936	0.349973	0.500553	0.333890	8.466169	4.000000	79.269668	8.797433	2.000000	66.675834	2.248845	6.000000	28.972425	6.035688	5.000000	0.012707	10.791481	1.000000	0.029728	10.206340	4.000000	0.035287	11.754961	3.000000	0.011293	8.003641	4.000000	47.226436	4.014071	6.000000	0.020441
