1	1	945.158034	44.859092	6.613723	58.694050	51.826739	0.347415	0.976407	0.707147	0.494554	0.404734	0.936366	1.000000	95.390193	5.606727	4.000000	29.914431	0.981596	5.000000	0.011842	1.623165	6.000000	60.115879	3.619702	5.000000	87.707295	1.774554	1.000000	0.015357	0.925088	5.000000	0.027126	3.865657	6.000000	0.036921	3.805504	2.000000	0.012969	0.081360	4.000000	0.011044	1.053049	2.000000	0.124261	3.926258	1.000000	0.021551	3.612670	6.000000	16.445151	0.644921	1.000000	0.031410	1.366343	5.000000	0.011270	2.144016	1.000000	19.334821	4.679764	3.000000	52.138474	0.289041	1.000000	60.934094	2.767972	4.000000	40.723875
2	2	818.717137	62.265110	11.163571	17.902702	72.050430	0.661471	0.466457	0.315739	0.251107	0.340792	2.356348	4.000000	85.285035	2.291456	3.000000	30.868644	0.603388	2.000000	0.019238	0.428498	3.000000	20.519167	4.202648	2.000000	57.924748	5.370838	4.000000	0.010640	0.597253	3.000000	0.019494	0.437362	4.000000	0.047998	0.820633	3.000000	0.014419	0.964230	2.000000	0.012140	0.639273	4.000000	0.076118	3.785546	5.000000	0.010382	0.557927	5.000000	19.539584	0.271078	5.000000	0.024243	0.802720	5.000000	0.010673	3.947331	3.000000	97.081091	1.641743	2.000000	87.695657	0.707002	1.000000	40.703393	2.725631	6.000000	21.367152
3	2	346.198610	35.785481	20.337413	45.614562	47.967567	0.416711	0.917869	0.804652	0.994214	0.986151	1.739846	2.000000	73.938801	1.552293	4.000000	40.711477	0.749078	5.000000	0.051118	0.059339	1.000000	97.707460	0.504150	1.000000	53.131685	0.985665	2.000000	0.013763	0.070957	2.000000	0.093247	3.823077	3.000000	0.025166	3.799770	3.000000	0.010126	0.037007	5.000000	0.014313	1.368364	4.000000	0.038168	4.125694	2.000000	0.019263	3.414394	2.000000	58.663178	0.917248	4.000000	0.022680	1.558011	5.000000	0.010333	0.881985	2.000000	63.046439	1.239480	6.000000	98.228195	0.203521	3.000000	42.142866	0.853594	6.000000	44.640246
4	2	607.052847	91.891640	85.291091	23.994875	3.479927	0.304779	0.664055	0.162257	0.958984	0.936141	3.328206	3.000000	65.447008	2.482965	6.000000	59.508352	0.967588	4.000000	0.032413	0.688176	4.000000	56.911659	1.561067	4.000000	91.373829	6.212690	2.000000	0.021965	0.497520	3.000000	0.036551	1.866244	5.000000	0.032111	1.084100	4.000000	0.013402	0.558747	6.000000	0.053342	1.793204	2.000000	0.012592	3.793059	5.000000	0.011288	3.428880	6.000000	98.457386	0.445267	4.000000	0.010703	1.526277	3.000000	0.068069	2.038814	2.000000	53.199288	6.189501	4.000000	73.464715	0.830259	2.000000	28.354202	1.937058	1.000000	66.372886
5	1	907.612733	80.200386	27.991282	11.822927	3.308052	0.929173	0.369119	0.843051	0.308377	0.802116	0.388538	4.000000	11.285197	4.065496	1.000000	60.155171	0.382226	3.000000	0.014232	1.293463	4.000000	20.461411	3.347566	2.000000	70.360619	4.227703	6.000000	0.022946	0.483702	3.000000	0.026906	4.486811	3.000000	0.010391	2.305171	3.000000	0.057262	0.680641	1.000000	0.030925	0.030115	1.000000	0.049831	0.567371	3.000000	0.019802	0.725915	1.000000	64.035504	0.309604	3.000000	0.012115	0.213326	1.000000	0.015517	1.344865	1.000000	6.732611	0.584192	5.000000	36.018428	0.251899	5.000000	38.142820	0.464357	5.000000	87.378763
6	1	128.558497	73.176483	86.307245	68.831766	41.846656	0.388522	0.799567	0.393896	0.341792	0.810225	0.922400	2.000000	84.156183	1.829844	6.000000	20.474469	0.919983	3.000000	0.010993	0.982813	5.000000	39.615510	1.855024	3.000000	26.173566	0.563971	2.000000	0.023405	0.684312	2.000000	0.029321	0.345984	5.000000	0.013440	1.039829	4.000000	0.011334	0.703059	4.000000	0.015201	1.651556	3.000000	0.011873	3.407623	2.000000	0.011853	2.772274	2.000000	66.511233	0.179303	5.000000	0.013517	1.399328	1.000000	0.022095	2.267326	2.000000	75.095084	1.686050	3.000000	92.028656	0.064644	6.000000	86.247746	1.534327	5.000000	40.868222
7	1	548.326531	81.571673	53.443294	27.026304	15.360943	0.752867	0.357069	0.435621	0.979037	0.544421	1.412683	2.000000	70.601355	0.097747	2.000000	25.235111	0.048095	2.000000	0.014015	2.113667	5.000000	12.178139	2.037970	1.000000	68.958996	3.825687	1.000000	0.025795	0.061275	3.000000	0.012687	0.965509	6.000000	0.046732	3.851480	6.000000	0.020212	0.305480	6.000000	0.013721	1.329749	4.000000	0.010339	2.555804	1.000000	0.064176	0.263686	3.000000	27.950301	0.647497	2.000000	0.021971	4.405573	3.000000	0.039799	1.430415	1.000000	12.761568	3.886869	2.000000	74.071924	1.334234	1.000000	14.126878	4.603187	4.000000	72.387825
8	2	808.354059	22.450604	27.549975	93.344336	78.954579	0.226610	0.528983	0.273652	0.890468	0.412909	3.507504	4.000000	89.060709	1.370639	4.000000	20.853839	0.943344	4.000000	0.028327	2.429761	3.000000	52.548130	4.278739	2.000000	63.704753	4.845516	5.000000	0.032146	0.598994	4.000000	0.031014	2.569831	4.000000	0.015161	2.524783	1.000000	0.026901	0.199999	3.000000	0.010482	1.540405	2.000000	0.029574	3.827371	4.000000	0.014254	1.170126	1.000000	34.037572	0.938368	3.000000	0.023412	3.679922	4.000000	0.011520	2.162411	3.000000	9.372241	2.105632	5.000000	30.551631	1.359548	4.000000	13.184817	1.694191	5.000000	48.081687
9	2	247.870633	31.741032	17.432638	4.270399	94.109764	0.304788	0.523038	0.562237	0.516711	0.945875	1.322448	1.000000	76.655225	0.388450	2.000000	36.636144	0.771888	2.000000	0.013197	1.982307	6.000000	16.651484	1.552216	4.000000	60.863891	4.721126	4.000000	0.130769	0.050099	5.000000	0.016137	1.398845	5.000000	0.126924	1.537880	1.000000	0.026100	0.510111	5.000000	0.033814	1.506149	2.000000	0.016737	2.134675	2.000000	0.195267	2.966232	2.000000	32.323991	0.636102	2.000000	0.013811	2.118618	5.000000	0.018419	0.906392	4.000000	66.438545	1.220244	1.000000	46.599916	2.174454	4.000000	59.227049	1.416358	1.000000	1.687928
10	2	841.700842	61.466464	67.657784	9.521772	85.001745	0.564817	0.323981	0.544585	0.175359	0.503818	0.472614	6.000000	36.180021	2.127609	4.000000	43.352909	0.319278	3.000000	0.011193	0.817519	5.000000	81.907170	2.522848	4.000000	17.837393	4.735444	5.000000	0.025600	0.826502	4.000000	0.019149	3.746883	3.000000	0.012857	1.154989	6.000000	0.011574	0.213086	3.000000	0.016085	2.294910	1.000000	0.784332	2.020867	6.000000	0.013328	3.804766	2.000000	77.115077	0.597489	4.000000	0.010819	4.373619	2.000000	0.235837	3.870708	6.000000	11.770621	1.049096	5.000000	8.099701	1.630370	6.000000	35.668756	1.626520	5.000000	69.164783
